[2016-04-18 09:59:20,300][DEBUG][org.jboss.logging] Logging Provider: org.jboss.logging.Log4jLoggerProvider
[2016-04-19 13:45:54,682][DEBUG][org.jboss.logging] Logging Provider: org.jboss.logging.Log4jLoggerProvider
[2016-04-19 13:47:17,080][DEBUG][org.jboss.logging] Logging Provider: org.jboss.logging.Log4jLoggerProvider
[2016-04-19 13:47:18,692][INFO][com.zaxxer.hikari.HikariDataSource] HikariPool-0 - is starting.
[2016-04-19 13:47:19,856][INFO][luminus.http-server] starting HTTP server on port 3000
[2016-04-19 13:47:20,090][INFO][org.xnio] XNIO version 3.4.0.Beta1
[2016-04-19 13:47:20,550][INFO][org.xnio.nio] XNIO NIO Implementation Version 3.4.0.Beta1
[2016-04-19 13:47:20,788][INFO][org.projectodd.wunderboss.web.Web] Registered web context /
[2016-04-19 13:47:20,799][INFO][luminus.repl-server] starting nREPL server on port 7000
[2016-04-19 13:47:20,838][INFO][dotted-line.core] #'dotted-line.config/env started
[2016-04-19 13:47:20,838][INFO][dotted-line.core] #'dotted-line.db.core/*db* started
[2016-04-19 13:47:20,839][INFO][dotted-line.core] #'dotted-line.core/http-server started
[2016-04-19 13:47:20,840][INFO][dotted-line.core] #'dotted-line.core/repl-server started
[2016-04-19 13:47:20,842][INFO][dotted-line.env] 
-=[dotted-line started successfully using the development profile]=-
[2016-04-19 14:11:04,532][INFO][luminus.repl-server] nREPL server stopped
[2016-04-19 14:11:04,582][DEBUG][org.projectodd.wunderboss.WunderBoss] Returning existing component for org.projectodd.wunderboss.web.Web:-1645144552, ignoring options.
[2016-04-19 14:11:04,784][INFO][luminus.http-server] HTTP server stopped
[2016-04-19 14:11:04,791][INFO][com.zaxxer.hikari.pool.HikariPool] HikariPool-0 - is closing down.
[2016-04-19 14:11:04,816][INFO][dotted-line.core] #'dotted-line.core/repl-server stopped
[2016-04-19 14:11:04,817][INFO][dotted-line.core] #'dotted-line.core/http-server stopped
[2016-04-19 14:11:04,817][INFO][dotted-line.core] #'dotted-line.db.core/*db* stopped
[2016-04-19 14:14:25,871][DEBUG][org.jboss.logging] Logging Provider: org.jboss.logging.Log4jLoggerProvider
[2016-04-19 14:14:27,974][INFO][com.zaxxer.hikari.HikariDataSource] HikariPool-0 - is starting.
[2016-04-19 14:14:29,886][INFO][luminus.http-server] starting HTTP server on port 3000
[2016-04-19 14:14:30,200][INFO][org.xnio] XNIO version 3.4.0.Beta1
[2016-04-19 14:14:30,670][INFO][org.xnio.nio] XNIO NIO Implementation Version 3.4.0.Beta1
[2016-04-19 14:14:31,037][INFO][org.projectodd.wunderboss.web.Web] Registered web context /
[2016-04-19 14:14:31,049][INFO][luminus.repl-server] starting nREPL server on port 7000
[2016-04-19 14:14:31,121][INFO][dotted-line.core] #'dotted-line.config/env started
[2016-04-19 14:14:31,121][INFO][dotted-line.core] #'dotted-line.db.core/*db* started
[2016-04-19 14:14:31,121][INFO][dotted-line.core] #'dotted-line.core/http-server started
[2016-04-19 14:14:31,121][INFO][dotted-line.core] #'dotted-line.core/repl-server started
[2016-04-19 14:14:31,122][INFO][dotted-line.env] 
-=[dotted-line started successfully using the development profile]=-
[2016-04-19 14:37:45,513][INFO][com.zaxxer.hikari.pool.HikariPool] HikariPool-0 - is closing down.
[2016-04-19 14:37:45,663][INFO][dotted-line.core] #'dotted-line.db.core/*db* stopped
[2016-04-19 14:38:44,572][DEBUG][org.jboss.logging] Logging Provider: org.jboss.logging.Log4jLoggerProvider
[2016-04-19 14:38:46,420][INFO][com.zaxxer.hikari.HikariDataSource] HikariPool-0 - is starting.
[2016-04-19 14:38:47,724][INFO][luminus.http-server] starting HTTP server on port 3000
[2016-04-19 14:38:47,917][INFO][org.xnio] XNIO version 3.4.0.Beta1
[2016-04-19 14:38:48,510][INFO][org.xnio.nio] XNIO NIO Implementation Version 3.4.0.Beta1
[2016-04-19 14:38:49,046][INFO][org.projectodd.wunderboss.web.Web] Registered web context /
[2016-04-19 14:38:49,066][INFO][luminus.repl-server] starting nREPL server on port 7000
[2016-04-19 14:38:49,165][INFO][dotted-line.core] #'dotted-line.config/env started
[2016-04-19 14:38:49,165][INFO][dotted-line.core] #'dotted-line.db.core/*db* started
[2016-04-19 14:38:49,166][INFO][dotted-line.core] #'dotted-line.core/http-server started
[2016-04-19 14:38:49,166][INFO][dotted-line.core] #'dotted-line.core/repl-server started
[2016-04-19 14:38:49,167][INFO][dotted-line.env] 
-=[dotted-line started successfully using the development profile]=-
[2016-04-19 14:50:14,074][INFO][luminus.repl-server] nREPL server stopped
[2016-04-19 14:50:14,077][DEBUG][org.projectodd.wunderboss.WunderBoss] Returning existing component for org.projectodd.wunderboss.web.Web:-1645144552, ignoring options.
[2016-04-19 14:50:14,090][INFO][luminus.http-server] HTTP server stopped
[2016-04-19 14:50:14,092][INFO][com.zaxxer.hikari.pool.HikariPool] HikariPool-0 - is closing down.
[2016-04-19 14:50:14,098][INFO][dotted-line.core] #'dotted-line.core/repl-server stopped
[2016-04-19 14:50:14,099][INFO][dotted-line.core] #'dotted-line.core/http-server stopped
[2016-04-19 14:50:14,099][INFO][dotted-line.core] #'dotted-line.db.core/*db* stopped
[2016-04-19 14:53:07,717][DEBUG][org.jboss.logging] Logging Provider: org.jboss.logging.Log4jLoggerProvider
[2016-04-19 14:53:10,306][INFO][com.zaxxer.hikari.HikariDataSource] HikariPool-0 - is starting.
[2016-04-19 14:53:11,485][INFO][luminus.http-server] starting HTTP server on port 3000
[2016-04-19 14:53:11,718][INFO][org.xnio] XNIO version 3.4.0.Beta1
[2016-04-19 14:53:12,057][INFO][org.xnio.nio] XNIO NIO Implementation Version 3.4.0.Beta1
[2016-04-19 14:53:12,388][INFO][org.projectodd.wunderboss.web.Web] Registered web context /
[2016-04-19 14:53:12,398][INFO][luminus.repl-server] starting nREPL server on port 7000
[2016-04-19 14:53:12,468][INFO][dotted-line.core] #'dotted-line.config/env started
[2016-04-19 14:53:12,468][INFO][dotted-line.core] #'dotted-line.db.core/*db* started
[2016-04-19 14:53:12,468][INFO][dotted-line.core] #'dotted-line.core/http-server started
[2016-04-19 14:53:12,469][INFO][dotted-line.core] #'dotted-line.core/repl-server started
[2016-04-19 14:53:12,470][INFO][dotted-line.env] 
-=[dotted-line started successfully using the development profile]=-
[2016-04-19 14:57:47,629][INFO][luminus.repl-server] nREPL server stopped
[2016-04-19 14:57:47,635][DEBUG][org.projectodd.wunderboss.WunderBoss] Returning existing component for org.projectodd.wunderboss.web.Web:-1645144552, ignoring options.
[2016-04-19 14:57:47,677][INFO][luminus.http-server] HTTP server stopped
[2016-04-19 14:57:47,678][INFO][com.zaxxer.hikari.pool.HikariPool] HikariPool-0 - is closing down.
[2016-04-19 14:57:47,687][INFO][dotted-line.core] #'dotted-line.core/repl-server stopped
[2016-04-19 14:57:47,687][INFO][dotted-line.core] #'dotted-line.core/http-server stopped
[2016-04-19 14:57:47,688][INFO][dotted-line.core] #'dotted-line.db.core/*db* stopped
[2016-04-19 14:59:15,725][DEBUG][org.jboss.logging] Logging Provider: org.jboss.logging.Log4jLoggerProvider
[2016-04-19 14:59:17,647][INFO][com.zaxxer.hikari.HikariDataSource] HikariPool-0 - is starting.
[2016-04-19 14:59:18,756][INFO][luminus.http-server] starting HTTP server on port 3000
[2016-04-19 14:59:18,921][INFO][org.xnio] XNIO version 3.4.0.Beta1
[2016-04-19 14:59:19,294][INFO][org.xnio.nio] XNIO NIO Implementation Version 3.4.0.Beta1
[2016-04-19 14:59:19,565][INFO][org.projectodd.wunderboss.web.Web] Registered web context /
[2016-04-19 14:59:19,569][INFO][luminus.repl-server] starting nREPL server on port 7000
[2016-04-19 14:59:19,609][INFO][dotted-line.core] #'dotted-line.config/env started
[2016-04-19 14:59:19,610][INFO][dotted-line.core] #'dotted-line.db.core/*db* started
[2016-04-19 14:59:19,610][INFO][dotted-line.core] #'dotted-line.core/http-server started
[2016-04-19 14:59:19,610][INFO][dotted-line.core] #'dotted-line.core/repl-server started
[2016-04-19 14:59:19,612][INFO][dotted-line.env] 
-=[dotted-line started successfully using the development profile]=-
